,User_A,User_B,Type,Source
247,@BadBernie2024,@latstetter,Reply,Democratic
248,@BadBernie2024,@latstetter,Reply,Republican
249,@BadBernie2024,@TweetingYarnie,Reply,Democratic
250,@BadBernie2024,@TweetingYarnie,Reply,Republican
251,@cannaspecialist,@cannaspecialist,Tweet,Democratic
252,@cannaspecialist,@cannaspecialist,Tweet,Public
253,@worldcannanews1,@MMPconnect,Retweet,Democratic
254,@worldcannanews1,@MMPconnect,Retweet,Republican
255,@worldcannanews1,@MMPconnect,Retweet,Public
256,@MMPconnect,@MMPconnect,Tweet,Democratic
257,@MMPconnect,@MMPconnect,Tweet,Republican
258,@MMPconnect,@MMPconnect,Tweet,Public
259,@MMPconnection,@MMPconnection,Tweet,Democratic
260,@MMPconnection,@MMPconnection,Tweet,Republican
261,@MMPconnection,@MMPconnection,Tweet,Public
262,@ng_480,@ng_480,Tweet,Democratic
263,@France_Verte,@IAmShaneBlack,Retweet,Democratic
264,@France_Verte,@IAmShaneBlack,Retweet,Republican
265,@France_Verte,@IAmShaneBlack,Retweet,Public
266,@France_Verte,@YouTube,Retweet,Democratic
267,@France_Verte,@YouTube,Retweet,Republican
268,@France_Verte,@YouTube,Retweet,Public
269,@IAmShaneBlack,@YouTube,Mention,Democratic
270,@Mackewich,@Mackewich,Tweet,Democratic
271,@democracy_16,@democracy_16,Tweet,Republican
272,@democracy_16,@democracy_16,Tweet,Public
273,@MimiTexasAngel,@MimiTexasAngel,Tweet,Democratic
274,@MimiTexasAngel,@MimiTexasAngel,Tweet,Republican
275,@MimiTexasAngel,@MimiTexasAngel,Tweet,Public
276,@MimiTexasAngel,@MimiTexasAngel,Tweet,Democratic
277,@MimiTexasAngel,@MimiTexasAngel,Tweet,Republican
278,@MimiTexasAngel,@MimiTexasAngel,Tweet,Public
279,@MMPconnect,@MMPconnect,Tweet,Democratic
280,@MMPconnect,@MMPconnect,Tweet,Republican
281,@MMPconnect,@MMPconnect,Tweet,Public
282,@MimiTexasAngel,@MimiTexasAngel,Tweet,Democratic
283,@MimiTexasAngel,@MimiTexasAngel,Tweet,Republican
